Question,Topic,Subtopic,Option 1,Option 2,Option 3,Option 4,Correct Answer
What’s the purpose of the Loan Estimate being provided to prospective borrowers?,Federal Mortgage-Related Laws,Truth in Lending Act (TILA),The disclosure allows them to make uninformed decisions about a loan’s terms.,The disclosure helps them make informed decisions about a loan’s affordability.,"The disclosure locks in a loan’s interest rate, payments, and other terms.",The disclosure prepares them for homeownership by testing their knowledge.,0
You are working with your borrowers on a pre-approval letter. Which of these items is something you will NOT request?,Mortgage Loan Origination Activities,Loan Inquiry and Application Process Requirements,Driver’s license,Recent bank account statements,The exact amount of their loan,The last two years of income tax,0
Which one of these borrowers qualifies for an FHA reverse mortgage?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,A borrower who is 27 and refinancing her first mortgage,A borrower who is over the age of 62,A borrower with a credit score below 580,A first-time homebuyer who is 23,0
"Which disclosure summarizes all account payments and deposits during the year, as well as any deficits or surpluses in an escrow account?",Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),Annual escrow statement,Escrow closing notice,Initial escrow statement,Mortgage servicing transfer statement,0
What does a preliminary title report reveal?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,"Both the property's ownership and any liens, encumbrances, or circumstances that won't be covered under a title policy","Liens, encumbrances, or circumstances that won't be covered under a title policy",Prior encumbrances that no longer exist,The property's ownership,0
Which document is used to establish proof of ownership and to transfer the title?,Mortgage Loan Origination Activities,Closing,Abstract of title,Deed,Survey,Title insurance policy,0
Under what condition is a VA loan assumable?,Uniform State Content,Compliance,No restrictions apply to an assumption of a VA loan.,The loan is assumable with VA approval (if it were made after 1988).,VA loans are assumable only by other veterans.,VA loans are not assumable.,0
How may an MLO ensure compliance with all advertising laws when developing advertisements?,Uniform State Content,Compliance,Hire a highly rated advertising agency to create the advertisements.,Implement an advertising review plan before publishing the advertisements.,Request that the most senior person in the company develops all his ads.,Revise the advertisements based on negative consumer feedback.,0
"A loan applicant purchased a property a year ago but stated she’s buying the fixer-upper property next door and will live in it full-time. If the MLO suspects fraud, what type of fraud is this?",Ethics,Ethical Issues,Asset fraud,Income fraud,Liability fraud,Occupancy fraud,0
What is HUD’s mission?,Federal Mortgage-Related Laws,Regulatory Authority,"To create strong, sustainable, inclusive communities and quality affordable homes for all",To enforce the law of the land in support of the American dream,"To ensure that every citizen, regardless of race, religion, sex, or familial status, owns a home","To provide safe, affordable housing in American suburbs",0
What type of loan meets the acceptable criteria for purchase by Fannie Mae and Freddie Mac?,General Mortgage Knowledge,Qualified and Non-Qualified Mortgage Programs,Conforming loan,Government loan,Jumbo loan,Nonconforming loan,0
Creditors must retain completed CD forms for at least ______ years from the date of completion.,Uniform State Content,Compliance,Five,Nine,Seven,Three,0
"A borrower takes out a loan for $90,000. He estimates that he will pay $525 per month toward interest for the first year of the loan. What is the interest rate for the loan?",Mortgage Loan Origination Activities,Financial Calculations,0.0058,0.143,1.71,0.07,0
"What allows federal and state regulators to track mortgage providers, even across state lines?",Uniform State Content,State Mortgage Regulatory Agencies,An NMLS UI,A Social Security number,A tax ID number,A tracking device,0
"A borrower pays $38,000 as a down payment on a home valued at $305,000. What percent down has the borrower paid?",Mortgage Loan Origination Activities,Financial Calculations,0.111,0.124,0.142,0.08,0
"Along with knowing not to steal, borrow, or commingle escrow funds, mortgage licensees need to understand specific state rules, particularly ______.",Uniform State Content,License Law and Regulation,"How escrow funds are received, held, and disbursed",How to hire someone to keep track of escrow funds,Their role in disbursing funds,When it is acceptable to spend escrow funds on personal expenses,0
"Your borrower is worried that after closing, someone else can claim ownership of the property. What can reassure her?",Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Abstract of title,Chain of title,Title insurance,Title search,0
"If a mortgage lender approves a loan application, the approval can be verbal or written. If the lender denies the loan application, the lender must provide ______.",Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),An adverse action notice within 60 days,An email notification of the decision within 10 days,A verbal adverse action notice,A written adverse action notice,0
"The _______ is a federal agency that works to implement goals to ensure affordable housing, protect consumers, and build inclusive communities in the U.S.",Federal Mortgage-Related Laws,Regulatory Authority,Department of Commerce,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,0
A borrower is completing a residential loan application. Which of the following would he include in the liabilities section?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Amount on deposit at his bank,Car loan,House,Stock holdings,0
Which of the following best defines an annual percentage rate (APR)?,Federal Mortgage-Related Laws,Truth in Lending Act (TILA),A standardized measure for interest rates and other costs of the loan,"Fees charged by a lender, expressed as a percentage",The amount a borrower pays in interest for a single year,The amount a lender can collect in interest from a borrower during a single year,0
How long does a mortgage servicer have to refund escrow funds to the borrower?,Mortgage Loan Origination Activities,Closing,15 business days,15 calendar days,20 business days,30 business days,0
Which one of the following is information that licensees are NOT required to change with the NMLS?,Uniform State Content,License Law and Regulation,Change of address,Change of legal status,Name change,Personal credit change,0
The USA PATRIOT Act expanded the scope and requirements of which other federal law?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,The Bank Secrecy Act,The Dodd-Frank Act,The Gramm-Leach-Bliley Act,The Truth in Lending Act,0
Revised LEs may be provided to borrowers when there is a valid ______.,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),Business reason,Changed circumstance,Credit history,Market fluctuation,0
"Andy ran an advertisement that misrepresented the interest, payments, or other terms with inaccurate usage of “fixed” to describe them. This is misrepresentation of the ______ of the terms.",Ethics,Ethical Issues,Additional product name,Default potential,Mortgage product type,Variability,0
Which of the following types of data is NOT included in public data collected under HMDA?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Amounts and types of loans that have been granted,Identifying information about individuals who have received loans,Mortgage applications that have been approved or denied,The purposes of loans that have been granted,0
Which of the following is a true statement regarding RESPA and the foreclosure process?,Federal Mortgage-Related Laws,Real Estate Settlement Procedures Act (RESPA),A lender has five days after receiving a loss mitigation application to acknowledge receipt and request any additional information.,"Borrowers may only apply for a loan workout if they are delinquent on a loan, but not once the loan is in default.","If a borrower defaults on a loan and fails to file a loss mitigation application, the lender may immediately begin foreclosure proceedings.","Once borrowers submit a loss mitigation application, they must accept the new terms offered by the servicer.",0
An MLO is seeking licensure in a different state and has applied for temporary authority. The state denies the application. What most likely happened?,Uniform State Content,License Law and Regulation,A state-licensed mortgage company employs him in the state where he applied.,He experienced a disqualifying event.,He was registered as an MLO for one year preceding the application submission.,He was registered for 30 days preceding the application date.,0
"A borrower is completing a residential loan application. On the application, he lists his assets. What are assets?",Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Items of value the borrower owns,Obligations the borrower owes,The difference between a borrower’s items of value and obligations,Wages earned from employment,0
Seller Ryan's property has a lien on it. A lien is _____.,General Mortgage Knowledge,Terms Used in the Mortgage Industry,"A legal claim on a property, meaning that the owner of the lien has rights to the property if the loan or obligation is not satisfied",A title that establishes the priority of the deed,A type of mortgage,The legal device used in securing the property,0
The fully indexed rate for an adjustable-rate mortgage is 4.5%. The loan had a start rate of 3.2% and a margin of 2.1%. What was the index value at the time the initial rate adjustment took effect?,Mortgage Loan Origination Activities,Financial Calculations,0.013,0.024,0.053,0.066,0
In which of the following instances is an MLO considered to have steered a consumer into a loan?,Ethics,Ethical Issues,The consummated transaction is in the consumer’s interest.,The consummated transaction is in the originator’s interest.,The originator makes a consistently high income.,The originator makes more high-cost loans than other MLOs.,0
MLO applicants must permit a credit report to be pulled so states can evaluate whether the applicant demonstrates ______.,Uniform State Content,License Law and Regulation,A criminal history,A lengthy credit history,A low debt-to-income ratio,Financial responsibility,0
The NMLS serves ______.,Uniform State Content,State Mortgage Regulatory Agencies,All 50 states and U.S. territories,Only the 50 states,The eastern part of the United States,The western part of the United States,0
The Dodd-Frank Act created the CFPB to ______.,Federal Mortgage-Related Laws,Regulatory Authority,Create a financial watchdog committee,Promote transparency for mortgages and other financial products,Reduce regulation and oversight of the financial services industry,Require a physical property visit for certain higher-cost mortgages,0
Which one of the following parties dictates whether the borrower may shop for a closing agent in a real estate loan transaction?,Mortgage Loan Origination Activities,Closing,The appraiser,The lender,The mortgage loan originator,The real estate agent,0
What does RESPA prohibit to protect borrowers from overcharges in a mortgage loan closing?,Ethics,Ethical Issues,Closing costs,Disclosure,Kickbacks,Origination fee,0
All of the following are possible penalties that the CFPB may impose EXCEPT for which one?,Uniform State Content,Compliance,"Fine a violator as much as $34,401 per offense.",Impose jail time.,Issue a cease-and-desist order.,Suspend a license.,0
A borrower applies for an adjustable-rate mortgage with a start rate of 2.6% and a margin of 1.9%. The index used was at 2.9% at the time of the initial rate adjustment. What is the fully indexed rate?,Mortgage Loan Origination Activities,Financial Calculations,0.029,0.045,0.048,0.055,0
"Under the ECOA, a lender may legally ask about a consumer’s ______ in order to make a credit decision.",Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),Marital status,Payment history,Race,Receipt of public assistance,0
A borrower applied for a home equity line of credit from their federally insured bank so that they could make some renovations to their kitchen. The same bank holds the note on the borrower's home mortgage. Will the HELOC be subject to RESPA requirements?,Federal Mortgage-Related Laws,Real Estate Settlement Procedures Act (RESPA),"No, because the borrower won't be using a real estate professional.","No, because there's no transfer of title involved.","Yes, because RESPA applies to any residential loan transaction from a federally insured financial institution, including home equity lines of credit.","Yes, because the bank is also the lender for his home mortgage. If they'd used a different lender, RESPA would not apply.",0
Which document is used to establish the path and proof of ownership?,Mortgage Loan Origination Activities,Closing,Chain of title,Deed,Survey,Title,0
Which of the following factors would be considered a serious derogatory credit reference?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,"Your client co-signed on his son's loan, which is currently paid off.",Your client has a paid-off collections account from four years ago.,Your client was 30 days late on a credit card payment 12 months ago.,Your client was 60 days late on his mortgage seven months ago.,0
How many days after consummation does a creditor have to refund a borrower for a tolerance correction?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,15 days,30 days,45 days,60 days,0
Regulation N provides 19 examples of the ______ that were the subject of enforcement actions before its adoption.,Ethics,Ethical Issues,Least common advertising misrepresentations,Most common advertising misrepresentations,Violator lenders,Violator MLOs,0
"MLO Maggie asked her teammate Ken to review her first closing statement. The amount of prepaid mortgage insurance, taxes, and interest appear to be correct. In addition to itemizing what the borrower-paid closing costs are, he should also verify the prepaid section includes ______ for accuracy.",Mortgage Loan Origination Activities,Closing,The applicable time period,The estimated monthly cost,The initial escrow payment due,When the next payment for each item is due,0
What is the purpose of PMI?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,"Insure the dwelling in the case of fire, flood, or other natural disasters.",Prevent the lender from having to provide the property insurance itself.,Protect the borrower from being defrauded.,Protect the lender in case of borrower default.,0
Which federal agency is responsible for administering the Home Mortgage Disclosure Act (HMDA)?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Consumer Financial Protection Bureau,Department of Commerce,Federal Trade Commission,U.S. Department of Housing and Urban Development,0
A settlement service is ______.,Federal Mortgage-Related Laws,Real Estate Settlement Procedures Act (RESPA),Any service provided for a prospective or actual settlement,Any service provided to a settlement service provider before closing,Only a service provided as a result of an actual settlement,When an MLO handles closing services,0
"According to TILA, residences on land the unit owner is leasing or renting are considered ______.",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),Chattel,Condos,Dwellings,New construction,0
"If a non-U.S. citizen who is in the country on a work visa wants to obtain a mortgage loan, which one of the following documents is a lender least likely to want to examine?",Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,A form of identification issued by a U.S. state,A positive credit history in the United States,A work contract lasting up to two years,Tax returns for the previous two years,0
"Mark is a loan originator. Because of the company he works for, he's registered and does not need to be licensed. What type of company does he work for?",Uniform State Content,License Law and Regulation,ABC Mortgage Specialists,City of Olympia Mortgage Company,Washington Broker Services,XYZ Federal Credit Union,0
"Your borrower has a credit score of 620 and has been approved for an FHA loan for a home with a sales price of $200,000. What is the minimum down payment that will be required?",General Mortgage Knowledge,Terms Used in the Mortgage Industry,100,1000,2500,7000,0
"An individual calls a consumer and states he’s an employee at the consumer’s bank. Unfortunately, this is a scam attempt. The caller tries to get the consumer to give him nonpublic personal information. What’s this action called per the GLBA?",Ethics,Ethical Behavior Related to Loan Origination Activities,Pretesting,Pretexting,Testing,Texting,0
Under which circumstance may a creditor create a revised Loan Estimate to provide to the borrower?,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),"New, unforeseen information about the transaction arose.",The borrower fails to request revisions to any credit terms.,The borrower’s credit score went up significantly.,The estimated costs associated with the loan will not exceed those listed on the Loan Estimate.,0
What must a Maryland reverse mortgage applicant do before a lender may commit to a reverse mortgage loan?,Uniform State Content,SAFE Act,The applicant must attest in writing that the lender provided a statement advising the applicant to get independent information and counseling.,The applicant must deliver the title to the lender for the personal property used as security for the reverse mortgage loan.,The applicant must fill out and submit a second mortgage loan application and any lender-required documents.,The applicant must obtain a signed affidavit from the primary physician attesting to the applicant’s health.,0
Which of the following is an example of a zero tolerance Loan Estimate item?,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),Owner’s title policy premium,Prepaid taxes,Recording fees,Underwriting fees,0
Who does homeowners insurance protect?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,FEMA,FEMA and the lender,Just the borrower,The borrower and lender,0
Which of these statements best describes a construction mortgage?,General Mortgage Knowledge,Mortgage Loan Products,"It may be a first mortgage, a junior mortgage, or a junior wrap-around mortgage.",It's often used to buy a furnished condominium.,The funds are often used for home renovations or a college education.,"The lender is loaning on land, air, and a promise to build.",0
"A newly licensed loan originator is working with a consumer on a loan application. Rather than wait for his borrower to sign off on the Borrower’s Signature Authorization form, he decides to get a jump on things. Is he doing anything wrong?",Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,"No, he can always have the borrower sign the form and back date it.","No, the form is just a formality and has no legal bearing.","Yes, this form authorizes him to obtain and verify the documentation with third parties.","Yes, this should have occurred after the closing.",0
An MLO in the area is working with new consumers. Which of the following services would the MLO NOT provide?,Uniform State Content,License Law and Regulation,Collecting the consumer’s financial and credit information,Helping the consumer apply for a loan,Performing a risk assessment on a particular loan,Preparing the loan application,0
What does a loan originator ask borrowers to provide in order to help assess their current and future income?,Mortgage Loan Origination Activities,Loan Inquiry and Application Process Requirements,How the property is used,Their credit rating,Their current employment,Their education,0
Which of the following statements about Loan Estimates is true?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,A Loan Estimate expires 10 business days from when it was provided to the borrower.,A Loan Estimate expires five days from the date of closing.,A Loan Estimate is good forever.,"A Loan Estimate’s charges expire, but not the terms.",0
"Which one of the following options best describes loan consummation, according to TRID?",Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),The day of closing,The day the lender approves a consumer’s loan application,When a consumer becomes contractually obligated to a creditor on a loan,When a consumer becomes contractually obligated to purchase property from a seller,0
The SAFE Act requires all MLOs to complete at least ______ hours of continuing education each year to maintain an active license.,Uniform State Content,License Law and Regulation,10,12,Eight,Nine,0
"A consumer received the LE from his loan originator. As he approached closing, he received the CD with his final costs. The transfer tax amount went down on the CD and was now 10% less that the amount he was provided on the LE. Was this a violation?",Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,"No, the transfer tax amount was decreased.",Transfer tax isn’t subject to zero tolerance.,"Yes, there should be no increase.","Yes, there should only be a 5% difference.",0
What does the CFPB have the authority to do?,Uniform State Content,State Mortgage Regulatory Agencies,Decide who becomes an MLO and who doesn’t.,Enforce laws and regulations at the state level.,Impose jail time after determining federal consumer financial law has been violated.,Investigate MLOs as needed to determine if anyone has violated federal consumer financial law.,0
What is the maximum fine an MLO may be charged for a violation of state rules?,Uniform State Content,Compliance,10000,12500,27340,34401,0
A telemarketing campaign involves reverse mortgages. The telemarketers contact consumers who aren’t on the Do Not Call Registry and tell them they'll eliminate all their monthly payments if they get a reverse mortgage with their offer. The telemarketers figure that consumers know they must still pay homeowners insurance and taxes. How would the TSR define the telemarketer's conduct?,Ethics,Ethical Issues,Abusive,Acceptable,Deceptive,Knowledgeable,0
Why must a lender provide a Closing Disclosure to a mortgage loan borrower?,Federal Mortgage-Related Laws,Truth in Lending Act (TILA),To help borrowers back out of the transaction if they’re no longer interested.,To help borrowers renegotiate the purchase agreement with supporting figures.,To help borrowers see what documents they must still provide for loan approval.,To help borrowers understand exactly how their funds are used at closing.,0
"Because of your duties as a licensee, what are you required to ensure regarding all client funds entrusted to you?",Uniform State Content,License Law and Regulation,All funds are accounted for correctly.,All funds are always in the form of a personal/cashier's check.,All funds are converted to cash.,All funds are held in an escrow fund for a minimum of 90 days.,0
What significant change in forms occurred with the Know Before You Owe special initiative?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Consumers now must receive the disclosure and toolkit within five business days from when the application is signed.,It requires lenders to share their markup with consumers.,The disclosure rule replaced four forms with only two disclosure forms: the LE and CD.,The Mortgage Loan Toolbox assists prospective homeowners with assessing their financial risk.,0
All money needed for a down payment or closing must be in the form of ______.,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Investments,Liquid assets,Personal property,Property or land,0
When does the NMLS period begin for renewing licenses?,Uniform State Content,License Law and Regulation,46022,45658,45838,45962,0
"Zenobia acquired a house one month ago for $500,000. She is now selling it for $575,000 to Anne, who is trying to secure a higher-priced mortgage loan for her purchase. Will it be necessary to carry out two appraisals of the property in accordance with Regulation Z? Why or why not?",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),No. The difference in prices is small enough that only one appraisal of the property will be required.,"No. While Anne is paying a higher price for the property than Zenobia did, the latest sales price doesn’t meet the 20% threshold for the appraisal requirement.",Yes. The increase in price is large enough to trigger the appraisal requirement for any property owned for fewer than 180 days.,Yes. Zenobia bought the house fewer than 90 days ago and the price Anne is paying is more than 10% greater than what Zenobia paid.,0
When may a company policy that has a disparate impact on various consumers be justifiable?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Never,When it only impacts low-income applicants,When the company’s executives didn’t realize the impact,When there’s a legitimate business reason,0
"Susan is changing employers and has submitted her resume to a state-licensed mortgage company. The company is located in Florida, and Susan is in Georgia. While waiting to hear back from the company on an offer, she plans to proactively obtain temporary authority to continue working as an MLO. What’s wrong with Susan’s plan? Choose the best answer based on the scenario.",Uniform State Content,License Law and Regulation,She hasn’t been registered as an MLO one year preceding her application submission.,She hasn’t been registered for 30 days preceding the application date.,She’s not yet employed by the state-licensed mortgage company where she applied.,Susan isn’t allowed to ask for temporary authority under any circumstance.,0
The loan-to-value ratio is best described as ______.,General Mortgage Knowledge,Terms Used in the Mortgage Industry,A calculation that describes the amount being borrowed compared to the value of a property,A calculation that illustrates a borrower’s principal payment compared to interest,A calculation that looks at a borrower’s monthly housing obligation as a percentage of monthly gross income,A calculation that looks at all recurring (or installment) debt as a percentage of the borrower’s monthly gross income,0
Which of the following best describes how and when the Dodd-Frank Act was enacted?,Federal Mortgage-Related Laws,Regulatory Authority,It was a financial services proclamation issued during the financial crisis.,It was a judicial response to the Bernie Madoff scandal.,It was a legislative response to the financial crisis.,It was a presidential decree related to the financial crisis.,0
"Lenders have different underwriting standards, but the maximum total DTI ratio for a conventional loan is _____.",Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,0.28,0.36,0.41,0.43,0
An applicant who has been found guilty of which of the following crimes would automatically be denied an MLO license?,Uniform State Content,License Law and Regulation,Applicant A has a misdemeanor for fraud on her record from eight years ago.,Applicant B was found guilty of murder nearly 20 years ago.,Applicant C pleaded nolo contendere for getting into a fight 16 years ago.,"Applicant D was taken to court for arson two years ago, but the charges were ultimately dropped.",0
"The Federal Trade Commission uses a “four Ps” test to evaluate whether a representation, act, practice, or omission might mislead a consumer. Which of the following set of terms do the four Ps represent?",Ethics,Ethical Issues,"Placement, positioning, presented, proximity","Presented, positioning, proximity, planted","Prominent, positioning, proximity, placement","Proximity, placement, presented, prominent",0
"During an MLO’s loan application file review, he noted that a deposit of $8,000 was put in the applicant’s checking account 30 days ago. Before this deposit, the applicant typically had $1,800 deposits every two weeks from her employer. The applicant didn’t include any documentation related to the deposit. What type of red flag is this?",Ethics,Ethical Issues,Bank activity,Employment,Income,Occupancy,0
"Are questions regarding the borrower’s ethnicity, race, and gender allowed on the 1003 application?",Mortgage Loan Origination Activities,Loan Inquiry and Application Process Requirements,Gender is the only category that is discussed on Form 1003.,"No, questions about demographics are not allowed.","Yes, and they must be answered.","Yes, but answering these questions is optional.",0
"If a mortgage loan applicant provides false information about earnings, what type of fraud is this?",Ethics,Ethical Issues,Asset fraud,Employment fraud,Income fraud,Liability fraud,0
How is Regulation B related to the Equal Credit Opportunity Act?,Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),Enforcement,Fortification,Negation,Restriction,0
